4510	2358	7
30331	8129	1
12945	7963	6
424	9921	4
12	8229	14
110	9490	2
9798	9585	6
469	3014	6
453	555	4
5995	4553	12
32302	2059	12
32536	6365	13
332	3386	0
12	8805	12
36116	2390	3
414	6200	9
101	9679	8
664	1714	16
154	7153	5
129	6	31
3157	6202	8
4179	729	2
12	4547	1
38354	9561	12
459	8892	6
173	3902	1
9697	2556	6
5112	9685	18
8	4859	8
101	7211	10
313	9717	7
6541	624	1
12580	8620	17
402	1972	9
375	7349	14
13198	3571	28
8188	3392	13
106	570	11
3764	1196	1
34242	9404	8
2503	5122	16
106	9140	4
12	7015	3
12437	742	5
8369	3944	0
110	3640	15
59	2826	3
103	1321	3
3790	5937	4
17582	1776	3
3542	727	16
10178	4364	6
102	1804	19
20617	2786	1
27701	5575	13
113	2372	6
102	517	17
21352	4267	5
698	4437	13
103	4524	9
14	8424	11
14	5924	14
925	3861	1
14	9923	21
3385	5603	2
12	4737	6
102	6115	17
146	7361	12
590	5815	0
16373	717	0
289	3589	12
85	9614	8
14	1292	12
30351	5115	5
241	1396	13
26952	3586	12
16078	280	1
2336	505	8
25281	5639	2
101	4865	8
6302	6345	3
44122	2537	0
104	9226	18
2012	5233	26
107	9047	0
9787	3734	7
288	6357	2
107	8122	0
23345	7349	16
446	1752	6
21485	8314	5
5585	9841	0
14	481	6
14	4205	14
43073	1282	5
107	8592	0
4682	1014	9
457	4631	2
107	7549	0
602	8233	6
174	8568	28
40334	4406	17
108	2589	9
113	7147	6
8177	6381	23
12	6439	1
12	5576	6
11423	6076	20
15928	3923	18
23196	5715	3
9889	2250	9
7948	3664	3
4744	4956	1
3361	2103	5
2352	7582	16
36214	9386	8
85	5601	1
29161	6204	8
319	5362	10
129	9933	17
9190	4832	3
489	7292	33
7432	3767	6
26429	1703	28
3496	522	12
171	5270	6
4985	6234	12
36671	554	2
11902	1005	9
113	5773	7
438	7817	6
150	2868	14
14	972	10
12616	7244	4
17872	6830	7
6355	3855	5
288	2583	12
3893	971	0
14	9768	13
2201	487	0
326	1069	1
104	673	7
12	9100	17
12	9282	19
104	4808	19
6936	1825	25
19831	2214	2
22097	8537	11
101	5733	4
191	252	3
545	7752	11
22014	5010	0
20137	6525	3
28017	1156	2
487	3153	11
39179	8286	14
146	6209	8
102	778	1
41162	9183	12
105	2532	4
2160	3267	12
1716	7513	33
9068	1022	5
30333	898	11
1284	4754	10
4590	6049	6
104	7841	2
5340	5771	10
103	1639	5
10113	1270	23
42227	6127	9
695	1025	5
115	3146	11
8044	8489	19
43089	1482	5
125	6049	1
156	4732	29
37686	3379	7
101	713	8
355	1463	6
12	9900	21
721	7401	8
194	7048	18
164	1002	0
345	393	1
133	8594	13
59	3017	9
11150	8634	10
12997	9120	13
42500	4143	5
729	5027	4
1493	3780	5
142	4296	14
1962	511	3
14	5819	35
13	6232	7
104	4256	3
5734	1532	2
105	2509	2
7318	1626	19
44158	5582	7
14	4137	6
106	5592	1
4804	1934	1
4630	2598	28
3621	834	6
3036	1474	16
5009	4775	21
159	2010	0
107	7389	0
24489	9120	17
314	5425	3
107	8240	0
9957	1125	4
14	6892	11
28207	9439	15
105	5450	5
437	7876	6
184	5348	28
